iin	I(Iin)	I(V1)
4.029999999999972e-006	4.030000e-006	4.308946e-006
4.039999999999972e-006	4.040000e-006	4.319497e-006
4.049999999999971e-006	4.050000e-006	4.330048e-006
4.059999999999971e-006	4.060000e-006	4.340598e-006
4.069999999999971e-006	4.070000e-006	4.351149e-006
4.079999999999971e-006	4.080000e-006	4.361698e-006
4.089999999999971e-006	4.090000e-006	4.372248e-006
4.099999999999971e-006	4.100000e-006	4.382797e-006
4.109999999999971e-006	4.110000e-006	4.393346e-006
4.119999999999971e-006	4.120000e-006	4.403895e-006
4.129999999999971e-006	4.130000e-006	4.414443e-006
4.139999999999971e-006	4.140000e-006	4.424991e-006
4.149999999999970e-006	4.150000e-006	4.435538e-006
4.159999999999970e-006	4.160000e-006	4.446086e-006
4.169999999999970e-006	4.170000e-006	4.456633e-006
4.179999999999970e-006	4.180000e-006	4.467180e-006
4.189999999999970e-006	4.190000e-006	4.477726e-006
4.199999999999970e-006	4.200000e-006	4.488272e-006
4.209999999999970e-006	4.210000e-006	4.498818e-006
4.219999999999970e-006	4.220000e-006	4.509363e-006
4.229999999999970e-006	4.230000e-006	4.519909e-006
4.239999999999970e-006	4.240000e-006	4.530453e-006
4.249999999999970e-006	4.250000e-006	4.540998e-006
4.259999999999969e-006	4.260000e-006	4.551542e-006
4.269999999999969e-006	4.270000e-006	4.562086e-006
4.279999999999969e-006	4.280000e-006	4.572630e-006
4.289999999999969e-006	4.290000e-006	4.583173e-006
4.299999999999969e-006	4.300000e-006	4.593716e-006
4.309999999999969e-006	4.310000e-006	4.604259e-006
4.319999999999969e-006	4.320000e-006	4.614801e-006
4.329999999999969e-006	4.330000e-006	4.625343e-006
4.339999999999969e-006	4.340000e-006	4.635885e-006
4.349999999999969e-006	4.350000e-006	4.646427e-006
4.359999999999968e-006	4.360000e-006	4.656968e-006
4.369999999999968e-006	4.370000e-006	4.667509e-006
4.379999999999968e-006	4.380000e-006	4.678050e-006
4.389999999999968e-006	4.390000e-006	4.688590e-006
4.399999999999968e-006	4.400000e-006	4.699130e-006
4.409999999999968e-006	4.410000e-006	4.709670e-006
4.419999999999968e-006	4.420000e-006	4.720209e-006
4.429999999999968e-006	4.430000e-006	4.730748e-006
4.439999999999968e-006	4.440000e-006	4.741287e-006
4.449999999999968e-006	4.450000e-006	4.751826e-006
4.459999999999968e-006	4.460000e-006	4.762364e-006
4.469999999999967e-006	4.470000e-006	4.772902e-006
4.479999999999967e-006	4.480000e-006	4.783440e-006
4.489999999999967e-006	4.490000e-006	4.793977e-006
4.499999999999967e-006	4.500000e-006	4.804514e-006
4.509999999999967e-006	4.510000e-006	4.815051e-006
4.519999999999967e-006	4.520000e-006	4.825588e-006
4.529999999999967e-006	4.530000e-006	4.836124e-006
4.539999999999967e-006	4.540000e-006	4.846660e-006
4.549999999999967e-006	4.550000e-006	4.857196e-006
4.559999999999967e-006	4.560000e-006	4.867731e-006
4.569999999999966e-006	4.570000e-006	4.878266e-006
4.579999999999966e-006	4.580000e-006	4.888801e-006
4.589999999999966e-006	4.590000e-006	4.899336e-006
4.599999999999966e-006	4.600000e-006	4.909870e-006
4.609999999999966e-006	4.610000e-006	4.920404e-006
4.619999999999966e-006	4.620000e-006	4.930938e-006
4.629999999999966e-006	4.630000e-006	4.941471e-006
4.639999999999966e-006	4.640000e-006	4.952004e-006
4.649999999999966e-006	4.650000e-006	4.962537e-006
4.659999999999966e-006	4.660000e-006	4.973070e-006
4.669999999999966e-006	4.670000e-006	4.983602e-006
4.679999999999965e-006	4.680000e-006	4.994134e-006
4.689999999999965e-006	4.690000e-006	5.004666e-006
4.699999999999965e-006	4.700000e-006	5.015197e-006
4.709999999999965e-006	4.710000e-006	5.025729e-006
4.719999999999965e-006	4.720000e-006	5.036260e-006
4.729999999999965e-006	4.730000e-006	5.046790e-006
4.739999999999965e-006	4.740000e-006	5.057320e-006
4.749999999999965e-006	4.750000e-006	5.067850e-006
4.759999999999965e-006	4.760000e-006	5.078381e-006
4.769999999999965e-006	4.770000e-006	5.088910e-006
4.779999999999964e-006	4.780000e-006	5.099439e-006
4.789999999999964e-006	4.790000e-006	5.109968e-006
4.799999999999964e-006	4.800000e-006	5.120497e-006
4.809999999999964e-006	4.810000e-006	5.131025e-006
